ID,Interval,Transfer,Bitrate,Retr,Cwnd
7,39.00-40.00,1.25 MBytes,10.5 Mbits/sec,32,56.6 KBytes
9,39.00-40.00,2.24 MBytes,18.8 Mbits/sec,37,53.7 KBytes
11,39.00-40.00,1.49 MBytes,12.5 Mbits/sec,39,49.5 KBytes
13,39.00-40.00,1018 KBytes,8.34 Mbits/sec,30,39.6 KBytes
7,40.00-41.00,1.25 MBytes,10.5 Mbits/sec,0,77.8 KBytes
9,40.00-41.00,1.12 MBytes,9.38 Mbits/sec,0,73.5 KBytes
11,40.00-41.00,1.49 MBytes,12.5 Mbits/sec,0,70.7 KBytes
13,40.00-41.00,1.49 MBytes,12.5 Mbits/sec,0,60.8 KBytes
7,41.00-42.00,2.50 MBytes,21.0 Mbits/sec,0,93.3 KBytes
9,41.00-42.00,2.24 MBytes,18.8 Mbits/sec,0,90.5 KBytes
11,41.00-42.00,1.74 MBytes,14.6 Mbits/sec,0,86.3 KBytes
13,41.00-42.00,1.49 MBytes,12.5 Mbits/sec,0,76.4 KBytes
7,42.00-43.00,1.25 MBytes,10.5 Mbits/sec,3,73.5 KBytes
9,42.00-43.00,1.12 MBytes,9.38 Mbits/sec,0,105 KBytes
11,42.00-43.00,1.74 MBytes,14.6 Mbits/sec,0,100 KBytes
13,42.00-43.00,1.24 MBytes,10.4 Mbits/sec,0,89.1 KBytes
7,43.00-44.00,1.25 MBytes,10.5 Mbits/sec,0,93.3 KBytes
9,43.00-44.00,2.24 MBytes,18.8 Mbits/sec,0,116 KBytes
11,43.00-44.00,1.74 MBytes,14.6 Mbits/sec,0,113 KBytes
13,43.00-44.00,1.49 MBytes,12.5 Mbits/sec,0,102 KBytes
7,44.00-45.00,2.50 MBytes,21.0 Mbits/sec,11,35.4 KBytes
9,44.00-45.00,1.12 MBytes,9.38 Mbits/sec,18,41.0 KBytes
11,44.00-45.00,1.99 MBytes,16.7 Mbits/sec,5,53.7 KBytes
13,44.00-45.00,1.74 MBytes,14.6 Mbits/sec,13,36.8 KBytes
7,45.00-46.00,1.25 MBytes,10.5 Mbits/sec,0,60.8 KBytes
9,45.00-46.00,2.24 MBytes,18.8 Mbits/sec,0,66.5 KBytes
11,45.00-46.00,1.99 MBytes,16.7 Mbits/sec,0,77.8 KBytes
13,45.00-46.00,1.49 MBytes,12.5 Mbits/sec,0,62.2 KBytes
7,46.00-47.00,1.25 MBytes,10.5 Mbits/sec,0,80.6 KBytes
9,46.00-47.00,2.24 MBytes,18.8 Mbits/sec,0,60.8 KBytes
11,46.00-47.00,2.24 MBytes,18.8 Mbits/sec,0,69.3 KBytes
13,46.00-47.00,1.74 MBytes,14.6 Mbits/sec,0,56.6 KBytes
7,47.00-48.00,2.50 MBytes,21.0 Mbits/sec,0,99.0 KBytes
9,47.00-48.00,1.12 MBytes,9.38 Mbits/sec,0,79.2 KBytes
11,47.00-48.00,1.99 MBytes,16.7 Mbits/sec,0,86.3 KBytes
13,47.00-48.00,1.74 MBytes,14.6 Mbits/sec,0,74.9 KBytes
7,48.00-49.00,2.50 MBytes,21.0 Mbits/sec,0,116 KBytes
9,48.00-49.00,2.24 MBytes,18.8 Mbits/sec,0,94.7 KBytes
11,48.00-49.00,1.99 MBytes,16.7 Mbits/sec,0,102 KBytes
13,48.00-49.00,1.74 MBytes,14.6 Mbits/sec,0,90.5 KBytes
7,49.00-50.00,2.50 MBytes,21.0 Mbits/sec,28,89.1 KBytes
9,49.00-50.00,1.12 MBytes,9.38 Mbits/sec,16,63.6 KBytes
11,49.00-50.00,1.99 MBytes,16.7 Mbits/sec,0,80.6 KBytes
13,49.00-50.00,1.49 MBytes,12.5 Mbits/sec,25,70.7 KBytes
7,50.00-51.00,2.50 MBytes,21.0 Mbits/sec,0,112 KBytes
9,50.00-51.00,2.24 MBytes,18.8 Mbits/sec,0,70.7 KBytes
11,50.00-51.00,2.49 MBytes,20.9 Mbits/sec,0,102 KBytes
13,50.00-51.00,2.49 MBytes,20.9 Mbits/sec,0,91.9 KBytes
7,51.00-52.00,2.50 MBytes,21.0 Mbits/sec,41,58.0 KBytes
9,51.00-52.00,1.12 MBytes,9.38 Mbits/sec,8,59.4 KBytes
11,51.00-52.00,2.30 MBytes,19.3 Mbits/sec,26,79.2 KBytes
13,51.00-52.00,1.99 MBytes,16.7 Mbits/sec,23,74.9 KBytes
7,52.00-53.00,1.25 MBytes,10.5 Mbits/sec,5,97.6 KBytes
9,52.00-53.00,1.12 MBytes,9.38 Mbits/sec,0,76.4 KBytes
11,52.00-53.00,1.49 MBytes,12.5 Mbits/sec,0,102 KBytes
13,52.00-53.00,1.24 MBytes,10.4 Mbits/sec,0,94.7 KBytes
7,53.00-54.00,1.25 MBytes,10.5 Mbits/sec,0,103 KBytes
9,53.00-54.00,1.12 MBytes,9.38 Mbits/sec,0,84.8 KBytes
11,53.00-54.00,1018 KBytes,8.34 Mbits/sec,0,112 KBytes
13,53.00-54.00,1018 KBytes,8.34 Mbits/sec,0,105 KBytes
9,54.00-55.00,1.12 MBytes,9.38 Mbits/sec,0,86.3 KBytes
11,54.00-55.00,764 KBytes,6.26 Mbits/sec,0,116 KBytes
13,54.00-55.00,764 KBytes,6.26 Mbits/sec,0,107 KBytes
7,55.00-56.00,1.25 MBytes,10.5 Mbits/sec,0,79.2 KBytes
11,55.00-56.00,1018 KBytes,8.34 Mbits/sec,0,80.6 KBytes
13,55.00-56.00,1018 KBytes,8.34 Mbits/sec,0,107 KBytes
7,56.00-57.00,2.50 MBytes,21.0 Mbits/sec,0,100 KBytes
9,56.00-57.00,2.24 MBytes,18.8 Mbits/sec,0,79.2 KBytes
11,56.00-57.00,2.24 MBytes,18.8 Mbits/sec,0,70.7 KBytes
13,56.00-57.00,2.73 MBytes,22.9 Mbits/sec,0,123 KBytes
7,57.00-58.00,1.25 MBytes,10.5 Mbits/sec,0,113 KBytes
9,57.00-58.00,1.12 MBytes,9.38 Mbits/sec,0,96.2 KBytes
11,57.00-58.00,1.74 MBytes,14.6 Mbits/sec,0,86.3 KBytes
13,57.00-58.00,2.86 MBytes,24.0 Mbits/sec,0,140 KBytes
7,58.00-59.00,2.50 MBytes,21.0 Mbits/sec,0,127 KBytes
9,58.00-59.00,2.24 MBytes,18.8 Mbits/sec,0,74.9 KBytes
11,58.00-59.00,1.49 MBytes,12.5 Mbits/sec,0,69.3 KBytes
13,58.00-59.00,2.80 MBytes,23.5 Mbits/sec,0,154 KBytes
7,59.00-60.00,2.50 MBytes,21.0 Mbits/sec,0,109 KBytes
9,59.00-60.00,2.24 MBytes,18.8 Mbits/sec,0,96.2 KBytes
11,59.00-60.00,1.74 MBytes,14.6 Mbits/sec,0,87.7 KBytes
13,59.00-60.00,3.42 MBytes,28.7 Mbits/sec,0,170 KBytes
7,60.00-61.00,2.50 MBytes,21.0 Mbits/sec,0,87.7 KBytes
9,60.00-61.00,1.12 MBytes,9.38 Mbits/sec,1,74.9 KBytes
11,60.00-61.00,1.74 MBytes,14.6 Mbits/sec,0,67.9 KBytes
13,60.00-61.00,3.36 MBytes,28.1 Mbits/sec,6,133 KBytes
7,61.00-62.00,1.25 MBytes,10.5 Mbits/sec,14,24.0 KBytes
9,61.00-62.00,1.12 MBytes,9.38 Mbits/sec,25,24.0 KBytes
11,61.00-62.00,1018 KBytes,8.34 Mbits/sec,19,31.1 KBytes
13,61.00-62.00,2.24 MBytes,18.8 Mbits/sec,73,36.8 KBytes
7,62.00-63.00,1.25 MBytes,10.5 Mbits/sec,0,45.2 KBytes
9,62.00-63.00,1.12 MBytes,9.38 Mbits/sec,0,43.8 KBytes
11,62.00-63.00,1.24 MBytes,10.4 Mbits/sec,0,52.3 KBytes
13,62.00-63.00,1.12 MBytes,9.38 Mbits/sec,0,56.6 KBytes
