Time (in HH:MM:SS) ,Time (s), Threshold
12:58:54, 0.8901486396789551, 0
12:58:54, 0.8955845832824707, 0
12:58:54, 0.9011027812957764, 0
12:58:54, 0.906670331954956, 0
12:58:54, 0.9122257232666016, 0
12:58:54, 0.9182202816009521, 0
12:58:54, 0.923637866973877, 0
12:58:54, 0.9295439720153809, 0
12:58:54, 0.9349913597106934, 0
12:58:54, 0.9403500556945801, 0
12:58:54, 0.9460201263427734, 0
12:58:54, 0.9514694213867188, 0
12:58:54, 0.9573490619659424, 0
12:58:54, 0.962787389755249, 0
12:58:54, 0.9682207107543945, 0
12:58:54, 0.9739522933959961, 0
12:58:54, 0.9795031547546387, 0
12:58:54, 0.9851694107055664, 0
12:58:54, 0.9907541275024414, 0
12:58:54, 0.996159553527832, 0
12:58:54, 1.002089262008667, 0
