ID,Interval,Transfer,Bitrate,Retr,Cwnd
13,31.00-32.00,2.24 MBytes,18.8 Mbits/sec,24,52.3 KBytes
7,32.00-33.00,1.86 MBytes,15.6 Mbits/sec,0,65.0 KBytes
9,32.00-33.00,2.24 MBytes,18.8 Mbits/sec,0,77.8 KBytes
11,32.00-33.00,2.49 MBytes,20.8 Mbits/sec,0,80.6 KBytes
13,32.00-33.00,2.24 MBytes,18.8 Mbits/sec,0,77.8 KBytes
7,33.00-34.00,1.55 MBytes,13.0 Mbits/sec,0,83.4 KBytes
9,33.00-34.00,1.99 MBytes,16.7 Mbits/sec,0,96.2 KBytes
11,33.00-34.00,1.99 MBytes,16.7 Mbits/sec,0,99.0 KBytes
13,33.00-34.00,1.99 MBytes,16.7 Mbits/sec,0,96.2 KBytes
7,34.00-35.00,1.86 MBytes,15.6 Mbits/sec,0,99.0 KBytes
9,34.00-35.00,1.99 MBytes,16.7 Mbits/sec,0,112 KBytes
11,34.00-35.00,1.99 MBytes,16.7 Mbits/sec,0,113 KBytes
13,34.00-35.00,1.99 MBytes,16.7 Mbits/sec,0,112 KBytes
7,35.00-36.00,1.86 MBytes,15.6 Mbits/sec,0,112 KBytes
9,35.00-36.00,1.99 MBytes,16.7 Mbits/sec,0,124 KBytes
11,35.00-36.00,2.24 MBytes,18.8 Mbits/sec,0,126 KBytes
13,35.00-36.00,1.86 MBytes,15.6 Mbits/sec,5,89.1 KBytes
7,36.00-37.00,1.86 MBytes,15.6 Mbits/sec,0,124 KBytes
9,36.00-37.00,2.30 MBytes,19.3 Mbits/sec,0,137 KBytes
11,36.00-37.00,2.11 MBytes,17.7 Mbits/sec,0,139 KBytes
13,36.00-37.00,1.30 MBytes,10.9 Mbits/sec,8,74.9 KBytes
7,37.00-38.00,1.86 MBytes,15.6 Mbits/sec,0,96.2 KBytes
9,37.00-38.00,1.86 MBytes,15.6 Mbits/sec,4,73.5 KBytes
11,37.00-38.00,2.17 MBytes,18.2 Mbits/sec,0,106 KBytes
13,37.00-38.00,1.24 MBytes,10.4 Mbits/sec,3,41.0 KBytes
7,38.00-39.00,3.11 MBytes,26.1 Mbits/sec,0,82.0 KBytes
9,38.00-39.00,2.17 MBytes,18.2 Mbits/sec,0,65.0 KBytes
11,38.00-39.00,3.11 MBytes,26.1 Mbits/sec,1,90.5 KBytes
