Connecting to host 10.0.0.7, port 5201
[  5] local 10.0.0.1 port 48222 connected to 10.0.0.7 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  54.00-55.00  sec   382 KBytes  3.13 Mbits/sec    5   14.1 KBytes       
[  5]  55.00-56.00  sec   382 KBytes  3.13 Mbits/sec    0   19.8 KBytes       
[  5]  56.00-57.00  sec   382 KBytes  3.13 Mbits/sec    3   21.2 KBytes       
[  5]  57.00-57.36  sec   255 KBytes  5.83 Mbits/sec    0   12.7 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-57.36  sec  20.0 MBytes  2.93 Mbits/sec  105             sender
[  5]   0.00-57.39  sec  19.8 MBytes  2.89 Mbits/sec                  receiver

iperf Done.
